date,press,region,title,sub_title,description,content,article_url,image_url
2026-02-23,경인일보,gyeonggi,[단독] 서울대공원서 호랑이가 호랑이 공격해 폐사 ‘관리부실 논란’,,"합사 아닌데, 다른 개체 공격 사망 수의사도 “이례적인 사고” 목소리 시민들 “추모보다 진상 규명을” 동물원 “정확한 사고 원인 조사중” 과천시 서울대공원에서 지내던 시베리아 호랑이 ‘미호(암컷·13)’가 지난 18일 다른 개체의 공격을 받아 숨진 가운데, 미호가 생활...","합사 아닌데, 다른 개체 공격 사망 수의사도 “이례적인 사고” 목소리 시민들 “추모보다 진상 규명을” 동물원 “정확한 사고 원인 조사중” 과천시 서울대공원에서 지내던 시베리아 호랑이 ‘미호(암컷·13)’가 지난 18일 다른 개체의 공격을 받아 숨진 가운데, 미호가 생활하던 방사장 앞에 추모 공간이 마련돼 있다. 2026.2.23",https://www.kyeongin.com/article/1759390,https://wimg.kyeongin.com/news/cms/2026/02/23/news-p.v1.20260223.3690f86fd24f41a18534c45aa2159e3a_R.jpeg
2026-02-23,경인일보,gyeonggi,[경인일보 여론조사] 안민석·유은혜·임태희 ‘3강’… 지지후보 없음 ‘51%’,,"6·3 지방선거를 100일 앞두고 실시한 경기도교육감 후보 지지도 조사에서 안민석 전 의원과 유은혜 전 사회부총리 겸 교육부 장관, 임태희 교육감이 ‘3강 구도’를 형성하고 있는 것으로 나타났다. 다만 지지하는 후보가 없거나 모르겠다는 부동층이 66%에 이르는 점에 비...","6·3 지방선거를 100일 앞두고 실시한 경기도교육감 후보 지지도 조사에서 안민석 전 의원과 유은혜 전 사회부총리 겸 교육부 장관, 임태희 교육감이 ‘3강 구도’를 형성하고 있는 것으로 나타났다. 다만 지지하는 후보가 없거나 모르겠다는 부동층이 66%에 이르는 점에 비춰보면, 향후 이들 부동층 표심이 선거 판세를 좌우할 것으로 보인다. 경인일보는 여론조사 전문업체 한국리서치에 의뢰해, 지난 19~20일 경기도민 1천명을 대상으로 경기도교육감 선거를 비롯한 6·3 지방선거 관련 여론을 조사했다. 안 전 의원의 지지율이 10%, 유 전 부총리가 9%, 임 교육감이 9%로 오차범위(95% 신뢰수준 ±3.1%p) 내에서 접전 양상을 보이고 있었다. 지난 도교육감 선거에서 민주진보 단일화 후보였던 성기선 전 후보는 4%, 박효진 전 전교조 경기지부장과 이해문 전 홍익대 경영대학 초빙교수는 각각 1%를 얻었다. 지지하는 후보가 없다는 답변은 51%로 절반을 넘겼고, 모름/무응답도 15%였다. 이를 합하면 66%다. 자신이 진보 성향이라고 답한 응답층 17%는 안민석 전 의원을 지지한다고 했다. 같은 응답층에서 유 전 부총리 9%, 성 전 후보 8%, 임 교육감은 5%, 박 전 지부장은 2%, 이 전 교수는 1% 순이었다. 중도 성향이라고 밝힌 응답층에서 유은혜 전 부총리는 지지율 12%를 얻었다. 임 교육감은 10%, 안 전 의원은 8%, 성 전 후보는 3%, 박 전 지부장과 이 전 교수는 각각 1%였다. 스스로를 보수 성향이라고 한 응답층은 14%가 임태희 교육감을 지지한다고 밝혔다. 안 전 의원과 유 전 부총리는 각각 7%였고, 성 전 후보와 이 전 교수는 각각 1%, 박 전 지부장은 0%였다. 더불어민주당 지지층에선 19%가 안민석 전 의원, 12%가 유 전 부총리를 지지한다고 했다. 성 전 후보는 7%, 임 교육감은 4%, 박 전 지부장은 2%, 이 전 교수는 1%였다. 안민석 전 의원은 진보당 지지층에서 24%의 지지율을 기록했다. 해당 응답층에서 이 전 교수는 14%, 박 전 지부장은 13%, 유 전 부총리는 11%, 성 전 후보는 10%, 임 교육감 0% 순이었다. 반면 국민의힘 지지층 16%, 조국혁신당 지지층 23%, 개혁신당 지지층 26%는 각각 임태희 교육감을 지지한다고 했다. 각 응답층에서 안 전 의원은 2%, 6%, 3%를 얻었고 유 전 부총리는 9%, 12%, 8%를 기록했다. 성 전 후보는 1%, 11%, 0%였고 박 전 지부장은 모두 0%였다. 이 전 교수는 1%, 4%, 2%였다. ■ 이번 여론조사는 경인일보가 여론조사 전문기관 한국리서치에 의뢰해 지난 19~20일 이틀간 경기도에 거주하는 만 18세 이상 남녀 1천명을 대상으로 진행했다. 성·연령·지역으로 층화된 휴대전화 가상(안심)번호를 무작위로 추출해 100% 면접원에 의한 전화면접 조사를 실시했다. 표본오차는 95% 신뢰수준에서 ±3.1%p, 응답률은 11.1%다. 2026년 1월 말 행정안전부 주민등록 인구를 기준으로 성별, 연령별, 지역별 가중치(셀가중)를 적용했다. 자세한 사항은 중앙선거여론조사심의위원회 홈페이지를 참조하면 된다.",https://www.kyeongin.com/article/1759347,https://wimg.kyeongin.com/news/cms/2026/02/23/news-p.v1.20260223.6f23d5bffc2640cfadfe1e239a506b66_R.png
2026-02-23,경인일보,gyeonggi,차량,,사람 몰려 일부 도로 밀려나 ‘아찔’ 전용 신호도 없어 90% “위협 느껴” 경기도내 사거리에 설치된 교통섬 상당수가 신호 없이 운영되면서 운전자와 보행자 간 혼선이 빚어져 교통사고 위험이 커지고 있는 실정이다. 23일 수원시 아주대 정문 삼거리에서 보행자와 차량이 뒤...,사람 몰려 일부 도로 밀려나 ‘아찔’ 전용 신호도 없어 90% “위협 느껴” 경기도내 사거리에 설치된 교통섬 상당수가 신호 없이 운영되면서 운전자와 보행자 간 혼선이 빚어져 교통사고 위험이 커지고 있는 실정이다. 23일 수원시 아주대 정문 삼거리에서 보행자와 차량이 뒤섞이고 있다. 2026.2.23,https://www.kyeongin.com/article/1759383,https://wimg.kyeongin.com/news/cms/2026/02/23/news-p.v1.20260223.ede691dd78d84bc29926543e62cc72f0_R.jpeg
2026-02-23,경인일보,gyeonggi,주차장 한달 요금 내느니… ‘한달 2번’ 딱지 떼고 만다,,횟수 제한 걸린 ‘스쿨존 과태료’ 청라 초은초 인근 불법 주정차 만연 안전신문고 신고해도 月 2회 한계 서구 “관리 인력 없어 부과 어려움” 인천 서구가 안전신문고로 접수된 불법 주·정차 신고에 대해 신고 횟수와 관계 없이 과태료를 월 2회까지만 부과하고 있는 것으로 ...,횟수 제한 걸린 ‘스쿨존 과태료’ 청라 초은초 인근 불법 주정차 만연 안전신문고 신고해도 月 2회 한계 서구 “관리 인력 없어 부과 어려움” 인천 서구가 안전신문고로 접수된 불법 주·정차 신고에 대해 신고 횟수와 관계 없이 과태료를 월 2회까지만 부과하고 있는 것으로 나타났다. 사진은 인천 서구 청라국제도시 한 도로에 불법 주차된 차량들 모습. 2026.2.23,https://www.kyeongin.com/article/1759381,https://wimg.kyeongin.com/news/cms/2026/02/23/news-p.v1.20260223.5eba63dc5e1c43908aa032cf12bb86ef_R.jpeg
2026-02-23,경인일보,gyeonggi,“새학기 등록금 또 올라…” 지갑 닫힌 대학가 상권,,"아주대 주변 상인 “손님 확 줄어” 대학생들, 고물가에 생활비 부담 도내 대부분 올해도 ‘학비’ 인상 경기대 수원캠, 상가 곳곳 ‘임대’ 고물가로 생활비와 주거비 부담이 커진 마당에 올해 등록금까지 오르면서 개강을 앞둔 대학가의 분위기가 썰렁하다. 사진은 경기도내 한 ...","아주대 주변 상인 “손님 확 줄어” 대학생들, 고물가에 생활비 부담 도내 대부분 올해도 ‘학비’ 인상 경기대 수원캠, 상가 곳곳 ‘임대’ 고물가로 생활비와 주거비 부담이 커진 마당에 올해 등록금까지 오르면서 개강을 앞둔 대학가의 분위기가 썰렁하다. 사진은 경기도내 한 대학가 식당이 한산한 모습을 보이고 있는 모습. /경인일보DB 23일 오후 1시께 수원시 팔달구 아주대학교 삼거리. 새 학기를 앞두고 학내 홍보물을 배포하는 동아리원들을 비롯해 캠퍼스를 오가는 대학생들로 정문 앞은 붐볐지만, 횡단보도 건너편 골목의 분위기는 정반대였다. 점심 시간대였지만 프랜차이즈 카페를 제외하고 일반 음식점 내부는 테이블 한 두 개를 제외하고 전부 비어 있었다. 개강 특수를 기대하느냐는 질문에 상인들은 고개를 가로저었다. 10년째 닭갈비 식당을 운영하는 A씨는 “오늘 대학생 손님은 세팀 정도 왔다”며 “몇년째 불경기가 이어진 탓인지 2~3년 전에 비해 손님이 확연히 줄었다”고 했다. 개강을 일주일 앞둔 대학가 분위기가 썰렁하다. 고물가로 생활비와 주거비 부담이 커진 마당에 올해 등록금까지 오르면서 학생들의 지갑이 닫힌 탓이다. 통계청에 따르면 올해 1월 기준 소비자물가지수는 118.03을 기록, 전월 대비 0.4% 올라 꾸준히 상승세를 보이고 있다. 이런 가운데 도내 대학 대부분이 지난해에 이어 올해도 등록금을 인상하기로 결정했다. 아주대학교는 학부 등록금을 2.9% 이내로 올릴 계획이다. 경기대학교와 성균관대학교 역시 상반기 학부 등록금을 각각 2.8%, 2.9% 인상 예정이다. 학생들은 빠듯한 주머니 사정에 소비를 줄일 수밖에 없다고 입을 모았다. 아주대학교 인근 원룸에서 자취하는 김모(23)씨는 “월세로 매달 들어가는 고정 비용만 60만원인데, 올해 등록금이 또 오른다고 들었다”며 “외식 한번 하려면 족히 이만원은 드니까 끼니는 최대한 학식으로 해결하려고 한다”고 말했다. 학생들의 발걸음이 줄어들다 보니 대학가 상권은 점차 쇠퇴하고 있다. 같은 날 찾은 수원시 영통구 경기대학교 수원캠퍼스 로데오거리는 평일 오후 시간임에도 식당 세 곳 중 한 곳 꼴로 영업을 하지 않고 있었다. 상가 곳곳에는 임대 안내문이 붙어있기도 했다. 한국부동산원 임대동향 지역별 공실률 통계에 따르면 지난해 4분기 아주대학교 삼거리의 공실률은 10.8%로, 2년 연속 10%대를 유지하고 있다. 인근 영통역의 공실률은 같은 분기 기준 6.1%에 불과한 것으로 조사됐다. 이은희 인하대학교 소비자학과 명예 교수는 “장사가 잘 되지 않는 자영업자들은 인건비를 아끼기 위해 무인 키오스크로 전환하고, 아르바이트 구인이 줄면서 학생들의 일자리가 줄어드는 악순환이 반복되고 있다”며 “대학 상권의 침체는 대학생을 포함해 청년들의 소비 여력이 점점 나빠지고 있다는 것을 보여준다”고 설명했다.",https://www.kyeongin.com/article/1759389,https://wimg.kyeongin.com/news/cms/2026/02/23/news-p.v1.20260223.f6c98fb6220140d8848171454ed9d26f_R.png
2026-02-23,경인일보,gyeonggi,"[단독] 문화누리카드, 전한길 행사서도 쓸 수 있다… 정치성 집회 흘러가는 지원금",,공연 형식 띈 정치 행사서도 사용 가맹점 기준 적용되기에 검증 한계 취지 맞지않는 공공재원 사용 우려 온라인 예매 플랫폼 ‘큐리스’에선 오는 3월 2일 고양 킨텍스에서 열리는 ‘3·1절 기념 자유음악회’ 티켓이 문화누리카드로 결제가 가능했다. 해당 행사는 강성 보수 유...,공연 형식 띈 정치 행사서도 사용 가맹점 기준 적용되기에 검증 한계 취지 맞지않는 공공재원 사용 우려 온라인 예매 플랫폼 ‘큐리스’에선 오는 3월 2일 고양 킨텍스에서 열리는 ‘3·1절 기념 자유음악회’ 티켓이 문화누리카드로 결제가 가능했다. 해당 행사는 강성 보수 유튜버 전한길 씨와 관련 단체 ‘자유한길단’이 주관하는 행사다. /큐리스 화면 캡처 저소득층의 문화격차 해소를 위해 연 15만원이 지원되는 문화누리카드가 공연 형식을 띤 정치성 집회에도 사용 가능한 것으로 확인됐다. 공공재정이 자칫 특정 정치 집단으로 흘러들어 갈 수 있다는 지적이 나온다. 23일 문화체육관광부와 산하기관 한국문화예술위원회 등에 따르면 문화누리카드는 기초생활수급자와 차상위계층을 대상으로 공연·전시·영화 관람 등 문화예술 활동을 지원하기 위해 발급되는 카드다. 해당 사업은 문화예술진흥법에 따라 기획재정부 복권위원회의 후원으로 진행되며 지원 대상자는 지정 가맹점에서 연간 15만원 한도 내 결제할 수 있다. 그러나 해당 사업의 취지와 달리 문화누리카드가 공연이나 콘서트 형식을 갖춘 정치 목적 행사에서도 사용이 가능한 것으로 나타났다. 이날 온라인 예매 플랫폼 ‘큐리스’에선 오는 3월 2일 고양 킨텍스에서 열리는 ‘3·1절 기념 자유음악회’ 티켓이 문화누리카드로 결제가 가능했다. 해당 행사는 강성 보수 유튜버 전한길씨와 관련 단체 ‘자유한길단’이 주관하는 행사로 1부는 음악회 형식을 띠고 2부는 토크 콘서트 형식으로 진행된다. 앞서 전씨의 유튜브에서는 가수 태진아씨와 이재용 전 MBC 아나운서 등이 해당 행사 출연자로 소개됐으나 행사 성격이 정치적 목적을 띤 것으로 알려진 이후 각각 출연 제의를 고사한 것으로 전해졌다. 지난 8일 서울 송파구 잠실실내체육관에서 열린 한동훈 국민의힘 전 대표의 토크콘서트 역시 예매 당시 문화누리카드로 결제가 가능했던 것으로 확인됐다. 해당 행사는 문화누리카드 온라인 가맹점 ‘티켓링크’를 통해 매표가 이루어졌다. 당시 행사 진행사 측은 해당 콘서트가 특정 정치활동에 대한 후원이나 기부가 아닌 유료문화관람 행사라고 명시했지만 한 전 대표의 정치적 메시지를 중심으로 구성된 행사라는 평가가 뒤따랐다. 이처럼 공연 형식을 갖춘 정치성 행사가 문화누리카드 적용 대상으로 분류되는 것은 행사 내용이 아닌 가맹점 등록 여부와 공연 형식 기준에 따라 결제가 승인되는 구조 때문이다. 문화누리카드는 가맹점 단위로 허용·비허용 대상을 관리하고 있어 허용된 공연장이나 예매 플랫폼에서 판매되는 개별 콘텐츠를 건별로 심의하거나 차단하는 체계는 마련돼 있지 않다. 전문가들은 저소득층의 문화격차 해소를 위해 투입되는 공공재원이 제도 운영의 빈틈으로 인해 특정 정치 집단으로 유입될 경우 사업 취지에 부합하지 않을 수 있다는 점을 우려한다. 주은선 경기대 사회복지학과 교수는 “문화누리카드의 취지는 문화소외계층의 다양한 문화 향유와 지역 소규모 문화 생산자에게 기회가 돌아가도록 하는 데 있다”며 “사업 취지와 거리가 있는 영역에 대한 사용은 점검이 필요하다”고 말했다.,https://www.kyeongin.com/article/1759379,https://wimg.kyeongin.com/news/cms/2026/02/23/news-p.v1.20260223.3a4ff8c6e4b842d1b3985510ac3a2254_R.png
2026-02-23,경인일보,gyeonggi,K리그 전반전 임박… 이정효號 수원이 온다,,"프로축구, 2026시즌 28일 개막전 수원삼성, 서울E와 홈에서 2부 첫 경기 베테랑 수혈 등 팬들 ‘명가 재건’ 기대 부천 1부 활약… 용인 등 신생팀도 주목 프로축구 K리그1·2 2026시즌 개막전이 다가오면서 축구팬들의 기대감이 커지고 있다. 사진은 지난해 12월...","프로축구, 2026시즌 28일 개막전 수원삼성, 서울E와 홈에서 2부 첫 경기 베테랑 수혈 등 팬들 ‘명가 재건’ 기대 부천 1부 활약… 용인 등 신생팀도 주목 프로축구 K리그1·2 2026시즌 개막전이 다가오면서 축구팬들의 기대감이 커지고 있다. 사진은 지난해 12월3일 경기도 수원월드컵경기장에서 열린 K리그 승강 플레이오프 1차전 수원 삼성 블루윙즈와 제주SK FC의 경기. 2025.12.3 /연합뉴스 ‘축구의 시간이 찾아왔다’. 프로축구 K리그1·2(1·2부 리그) 2026시즌 개막전이 4일 앞으로 다가오면서 축구팬들의 기대감이 커지고 있다. 특히 올 시즌에는 K리그 명장 이정효 감독이 수원삼성의 명가 재건을 이룰 수 있을지, 창단 첫 1부리그에 승격한 부천FC 1995 활약 등 축구팬들의 즐거운 고민이 이어진다. 올 시즌 K리그2는 오는 28일 수원월드컵경기장에서 수원삼성과 서울이랜드의 경기를 시작으로 성대한 막을 연다. 지난 겨울 오프시즌부터 K리그에서 가장 뜨거운 소식이었던 이 감독의 영입으로 주목받았던 수원이기에, 올 시즌 첫 단추가 어느 때보다 중요하다. 수원은 지난 2024시즌 강등된 뒤 그동안 쓴맛을 봐왔기에 올 시즌 기필코 승격하겠다는 각오로 임한다. 수원은 지난 16일까지 일본 미야자키에서 2차 동계훈련으로 담금질을 마치고 국내에서 시즌을 준비하고 있다. 특히 이정효 감독의 수제자 정호연을 비롯해 국가대표급 골키퍼 김준홍의 영입과 스피드가 좋은 이준재, 윤근영과 베테랑 수비수 홍정호 등 이정효호의 뼈대가 갖춰지고 있다. 지난 20일에는 고승범이 울산HD에서 친정팀 수원으로 트레이드되면서 복귀해 기대를 모은다. 개막전이 어느때 보다 중요한 상황에 수원은 K리그2에서 가장 완성도가 높은 축구를 선보이는 서울이랜드와 맞붙는다. 이정효 감독 특유의 파괴적 공격 전술이 김도균 감독의 조직력을 어떻게 뚫을 수 있을 지가 관심사다. 또 K리그2에서는 신생팀의 반란도 기대를 모은다. 용인FC와 파주프런티어FC가 올 시즌부터 K리그2 무대를 밟는다. 용인FC는 덕장 최윤겸 초대 감독을 선임하면서 역대급 투자를 이어왔다. 석현준, 김민우, 임채민, 신진호 등 1부리그 급 베테랑 선수들을 대거 영입했고, 리그 유일의 외국인 골키퍼인 포르투갈 출신 노보도 영입해 활약이 기대된다. 파주FC는 스페인 출신의 제라드 누스 감독을 초대 감독으로 선임하며 구단의 미래를 위한 기반을 다져간다. 창단 후 처음으로 K리그1에 승격한 부천FC의 각오도 남다르다. 부천을 이끄는 이영민 감독은 ‘맷집 강한 축구’를 선보이며 K리그1 잔류와 동시에 구단의 도약을 목표로 잡았다. 부천은 오는 3월 1일 전주월드컵경기장에서 디펜딩챔피언 전북현대와 리그 개막전을 치른다. 이어 7일 지난 시즌 준우승팀 대전하나시티즌과 홈 개막전을 벌인다.",https://www.kyeongin.com/article/1759364,https://wimg.kyeongin.com/news/cms/2026/02/23/rcv.YNA.20251203.PYH2025120323170006100_R.jpg
2026-02-23,경인일보,gyeonggi,공공주택 공급 논란… 광역 비즈니스 콤플렉스 개발 ‘평행선’,,"동탄2 마지막 노른자위 놓고 충돌 LH, 일부지역 2034가구 조성 추진 화성시는 업무상업시설 유치 촉구 지방선거 이후에나 윤곽 드러날듯 동탄2신도시 노른자위 땅으로 불리는  ‘광역 비즈니스 콤플렉스’의 아파트 공급을 놓고 시민·화성시·지역정치권이 반대 입장을 분명히 ...","동탄2 마지막 노른자위 놓고 충돌 LH, 일부지역 2034가구 조성 추진 화성시는 업무상업시설 유치 촉구 지방선거 이후에나 윤곽 드러날듯 동탄2신도시 노른자위 땅으로 불리는  ‘광역 비즈니스 콤플렉스’의 아파트 공급을 놓고 시민·화성시·지역정치권이 반대 입장을 분명히 하고 있다. /화성시 제공 명품 신도시 반열에 오른 화성 동탄2신도시의 마지막 노른자위 땅으로 불리는 ‘광역 비즈니스 콤플렉스’(이하 광비콤)의 개발 방안을 놓고 시민·지역정치권 등 화성시측과 국토교통부·한국토지주택공사(LH) 등 정부측이 격돌하고 있다. 23일 화성시 등에 따르면 정부 측은 광비콤내 업무상업용지에 일정부분 공공분양 아파트를 공급하겠다는 입장이고, 반면 시와 시민들은 당초 계획에 맞춰 업무 상업시설로 개발하라고 주장하고 있다. 먼저 집행기관인 LH는 주택공급 확대방안(9·7) 발표 후속조치를 통해 수도권 공공주택 3천호 공급시기를 앞당기기 위해 지난해 12월12일 광비콤의 C30, C31블록에 공공주택 민간참여 사업자를 공모한다고 사전예고로 고시했다. 한마디로 이 지역에 2천34가구를 공급하겠다는 것이다. 이 같은 정부측 계획에 맞서 시민·화성시·지역정치권은 민관정공 협의체를 구성하고, 당초 광비콤 계획에 맞게 앵커시설 유치를 통한 자족기능을 갖춘 경제 활성화의 모델로 개발할 것을 주문하고 있다. 양측간 대립으로 공공주택 민간참여 사업자 공모는 중지됐고 힘겨루기가 장기화될 조짐이다. 현재로선 오는 6월 지방선거 이후에나 개발방향이 결정될 것으로 예측되고 있다. 시민과 지역정치권은 C30, C31지역의 주상복합 용도변경 및 공공분양 계획에 대해 반대입장을 분명히 하고 있다. 이럴 경우 동탄역세권의 자족기능이 떨어지고, 교통·교육 인프라의 과부하, 기업유치 및 업무기능 저하 등으로 하나의 베드타운으로 전락할 수 있다는 것이다. 따라서 컨벤션센터 호텔 공원 등을 갖추고 로봇, AI, 반도체 등 미래산업을 선도할 자족형 업무지구로 활용할 수 있기를 희망하고 있다. 시는 주민들과 함께 공공주택 민간참여 사업자 공모 즉각 중단과 함께 동탄역세권 토지이용계획 원상복구 후 주민여론을 반영한 개발계획 재수립, 광비콤내 앵커시설 및 기업유치방안 마련, 국토부의 광비콤 민관정공 협의체 일원 참여를 요구하고 있다. 광비콤은 동탄을 자족도시로 완성할 수 있는 기업유치와 일자리 창출을 담당하는 경기남부의 자족형 경제 중심축 역할을 맡게 될 핵심공간이다. 이에 대해 LH는 “이번 고시는 본 고시가 아닌 사전 예고이며, 광비콤의 업무시설이 63빌딩의 1.5배에 달하는 데다 현재도 업무시설 과다공급으로 공실이 많은 것이 현실”이라며 “민관정공 협의체의 입장을 국토부에 전달하고 협의중에 있다”고 집행기관의 어려움을 털어놨다. 과연 개발방향의 열쇠를 쥔 국토부가 주민·화성시·지역정치권의 상반된 입장을 놓고 어떤 결정을 내릴지 주목된다. 화성",https://www.kyeongin.com/article/1759351,https://wimg.kyeongin.com/news/cms/2026/02/23/news-p.v1.20260220.1ade960bd1c24420a612af8253c24fd0_R.jpg
2026-02-23,경인일보,gyeonggi,"‘중징계 의결’ 앞둔 수원시의원, 사퇴후 도의원 출마 준비 의혹",,청탁금지법 위반 과태료 처분 ‘정직 30일’ 내달 5일 본회의 확정전 그만두면 절차 종료 최근 수원시의회 윤리특별위원회에서 ‘정직 30일’의 징계가 의결된 시의원이 본회의 의결 전 사퇴한 뒤 경기도의원 출마를 준비 중인 것으로 알려졌다. 사진은 수원시의회 신청사 전경....,청탁금지법 위반 과태료 처분 ‘정직 30일’ 내달 5일 본회의 확정전 그만두면 절차 종료 최근 수원시의회 윤리특별위원회에서 ‘정직 30일’의 징계가 의결된 시의원이 본회의 의결 전 사퇴한 뒤 경기도의원 출마를 준비 중인 것으로 알려졌다. 사진은 수원시의회 신청사 전경. 2025.11.17,https://www.kyeongin.com/article/1759388,https://wimg.kyeongin.com/news/cms/2026/02/23/news-p.v1.20260223.a1986356767540b5bd4efd59213529ec_R.jpeg
2026-02-23,경인일보,gyeonggi,[6·3 지방선거 나요나-평택시장] 민주 현역 불출마·국힘 인물난… 여권 주자만 줄섰다,,"오는 6월3일 전국동시지방선거를 앞두고 그동안 여야 격전지로 꼽혀왔던 평택시장 선거 구도에 미묘한 변화가 감지되고 있다. 국민의힘 등 보수진영에선 뚜렷한 후보군이 보이지 않는 ‘인물난’ 조짐이 나타나는 반면, 더불어민주당은 다수의 출마 선언이 이어지며 ‘인물 홍수 현상...","오는 6월3일 전국동시지방선거를 앞두고 그동안 여야 격전지로 꼽혀왔던 평택시장 선거 구도에 미묘한 변화가 감지되고 있다. 국민의힘 등 보수진영에선 뚜렷한 후보군이 보이지 않는 ‘인물난’ 조짐이 나타나는 반면, 더불어민주당은 다수의 출마 선언이 이어지며 ‘인물 홍수 현상’을 보이고 있기 때문이다. 평택지역 정치권에서는 이 같은 ‘야당 인물 실종’과 ‘여당 후보 집중’ 현상이 자칫 유권자의 선택 폭을 좁히는 결과로 이어질 수 있다는 우려도 나온다. 이에 따라 국민의힘 등 보수진영에서 과연 시장 후보를 낼 수 있을지 관심이 모아지고 있다. 또 다른 변수도 있다. 최근 이병진(민·평택시을) 전 국회의원이 당선무효형을 받으면서 지방선거와 함께 국회의원 재선거가 치러진다. 여기에 정장선 현 시장의 불출마 선언까지 더해지면서 이번 시장 선거에 어떤 영향을 미칠지 주목된다. 공재광 前 시장 “바로 실전” 각오 최원용, 前 道기조실장 행정 전문 서현옥 ‘실용정치로 승부’ 슬로건 김기성 前 시부의장, 인프라 약속 김수우, 브레인시티 금투 대표 역임 유병만, 문화 선도 ‘유엔시티’ 공약 ‘야권 실종’ 투표 선택권 축소 우려 현재 평택시장 선거에는 진보진영 민주당 소속으로 공재광 전 시장, 최원용 전 경기도청 기획조정실장, 서현옥 민주당 대표 여성특보, 김기성 전 평택시의회 부의장, 김수우 전 민주당 정책위 부의장, 유병만 전 대통령 직속 민주평화통일자문회의(이하 민주평통) 자문위원 등이 출마를 선언했다. 공재광 전 시장은 지난 10일 출마 기자회견에서 “연습은 없다. 바로 실전”이라며 ‘파부침주’(破釜沈舟)의 각오를 밝혔다. 그는 이재명 정부의 성공을 뒷받침할 평택의 미래 발전 청사진을 제시하며 GTX-A·C노선 평택 연장, 고덕 경기남부권 KTX 역사 관철, 평택항·반도체 산업을 활용한 경제 선도 전략, 교육·교통·문화 중심의 명품 도시 조성 등을 공약으로 내걸었다. 최원용 전 도 기획조정실장은 평택시 부시장과 경기경제자유구역청장 등을 지낸 행정 전문가다. 그는 ‘규모의 평택’을 넘어 ‘내실과 품격의 평택’으로 도약하겠다는 비전을 제시하며 공천 경쟁에 뛰어들었다. ‘K-반도체 중심, AI 미래도시 평택’, ‘평택 30분 생활권’ 등을 강조하며 자신이 적임자임을 부각하고 있다. 첫 여성 평택시장에 도전한 도의원 출신 서현옥 당대표 여성특보는 ‘평택 대전환기, 실용정치로 승부하겠다’는 슬로건을 내걸었다. 19세 생산직 노동자에서 시장 후보에 이르기까지의 이력을 강조하며 “시민의 유능한 도구가 되겠다”고 밝혔다. KTX 경기남부 역사 추진, GTX 연장 조기 착공, 에너지 자립 특구 조성, AI·반도체 메가시티 완성 등을 주요 공약으로 제시했다. 김기성 전 평택시의회 부의장은 “계획된 일을 차질 없이 추진해 성과로 답하겠다”며 지속 가능한 발전 생태계 구축과 정주 여건 개선, 예술·생활체육 인프라 확대 등을 약속했다. GTX-A·C노선과 KTX 서해선 안중역 완성, 고덕 KTX 경기남부역 설치 추진 등 교통 현안 해결에 속도를 내겠다는 입장이다. 최근 출마 의사를 밝힌 김수우 전 민주당 정책위 부의장은 시의원과 브레인시티 프로젝트 금융투자(주) 대표를 지낸 경험을 앞세우고 있다. 그는 아주대병원과 카이스트 평택캠퍼스 조성 완수를 공약하며 “치밀하지 못한 개발은 평택의 손실로 이어질 수 있다. 100만 대도시 완성은 현장 경험을 갖춘 자신만이 해낼 수 있다”고 강조했다. 유병만 전 대통령 직속 민주평통자문위원은 30년간 민주당의 가치와 신념을 지켜온 정통 민주당 인사임을 내세우며 문화·관광을 선도할 ‘유엔시티’ 추진을 핵심 공약으로 제시했다. 그는 “유엔시티 유치를 현실화해 연간 1천만 명의 외국인이 찾는 도시, ‘한국의 실리콘밸리’로 성장시키겠다”고 밝혔다. 평택",https://www.kyeongin.com/article/1759368,https://wimg.kyeongin.com/news/cms/2026/02/23/news-p.v1.20260223.3eeb3a5d8cf146ae866451c9837caf3d_R.jpg
