date,press,region,title,sub_title,description,content,article_url,image_url
2026-02-25,매일신문,gyeongbuk,낙동강 녹조라떼 사라지나…2030년 수질 1등급 목표,,정부가 1천300만 영남권 주민의 식수원인 낙동강을 2030년까지 1등급 수질로 관리하겠다는 종합 대책을 내놨다. 대구시민에게 큰 상흔을 남긴 1991년 '낙동강 페놀 유출 사건' 이후 35년 만에 정부가 내놓은 사실...,"총인 30% 감축·산업폐수 고도처리 도입…1300만 영남 식수원 관리 강화 생활하수·도시 비점오염 관리…가축분뇨·비료 관리 정부가 1천300만 영남권 주민의 식수원인 낙동강을 2030년까지 1등급 수질로 관리하겠다는 종합 대책을 내놨다. 대구시민에게 큰 상흔을 남긴 1991년 '낙동강 페놀 유출 사건' 이후 35년 만에 정부가 내놓은 사실상 전면적 수질 개선 로드맵이다. 기후에너지환경부는 25일 정부서울청사에서 구윤철 부총리 겸 재정경제부 장관 주재로 열린 경제관계장관회의 겸 산업경쟁력강화 관계장관회의에서 '낙동강 수질 개선 대책'을 발표했다. 녹조의 핵심 원인인 총인(TP) 배출을 줄이고 산업·농업 폐수를 배출 단계부터 관리해 2030년까지 해평·강정고령·칠서·물금매리 등 4개 주요 취수 지점의 총인과 총유기탄소(TOC)를 여름철에도 Ⅰ등급으로 유지하겠다는 게 목표다. 녹조 발생은 50% 이상 줄이기로 했다. 현재 이들 지점의 여름철 총인은 0.043~0.051㎎/L, TOC는 4.0~4.5㎎/L 수준이다. 정부 목표치는 총인 0.04㎎/L 이하, TOC 3.0㎎/L 이하다. 낙동강은 지난 30년간 수질이 개선됐지만 여전히 한강보다 뒤처진다. 2020~2024년 평균 기준으로 한강 팔당댐은 TOC 2.3㎎/L, 총인 0.031㎎/L로 Ⅰb 등급을 유지했다. 반면 낙동강 물금 지점은 TOC 4.1㎎/L로 Ⅲ등급, 총인 0.042㎎/L로 Ⅱ등급에 머물렀다. 반복된 오염 사고와 녹조 사태는 수돗물 불신으로 이어졌다. 정부는 하루 12.5t(톤)에 달하는 낙동강 총인 유입량을 2030년까지 30% 감축한다. 2023년 기준 총인 배출부하량의 약 46%는 토지에서, 40%는 가축분뇨에서 유입됐다. 이에 따라 퇴·액비 살포를 권장량 이내로 제한하고 초과분은 고체연료나 바이오가스로 전환한다. 토양 양분 분석을 확대하고 완효성 비료 보급도 늘린다. 농경지·축사 밀집 지역에는 비점오염저감시설을 설치한다. 강변에 부적정하게 쌓인 퇴비 관리도 강화한다. 지금은 형사처벌 규정 위주여서 단속 실효성이 낮다는 지적이 있었다. 정부는 과태료 부과 등 행정제재를 도입해 현장 집행력을 높이기로 했다. 산업·생활 하수 관리도 강화한다. 정부는 하루 1만t 이상 공공하수처리시설의 총인 방류 기준을 0.2㎎/L로 통일한다. 농촌 지역에는 마을 단위 저류시설을 설치해 공공처리시설로 연계한다. 초기 강우 시 오염물질이 집중 유입되는 점을 고려해 초기우수 처리시설도 확충한다. 산업폐수는 고도처리 체계로 전환한다. 낙동강 수계 공공 산업폐수처리시설에 오존·활성탄 기반 공법을 도입한다. 과불화화합물(PFAS) 등 미량 오염물질을 90% 이상 제거한다는 계획이다. 미량·미규제 물질 모니터링 지점은 38곳에서 70곳으로, 산업단지 하류 수질자동측정망은 51곳에서 61곳으로 늘린다. 하루 47만t에 이르는 산업폐수 유입을 상시 감시하겠다는 것이다. 현재 낙동강에 유입되는 산업폐수 가운데 구미와 대구가 60%를 차지하고, 81%가 공공 하수·폐수 처리장에서 처리되고 있다. 김성환 기후부 장관은 ""오염을 사후적으로 대응하는 차원을 넘어 발생단계부터 근본적으로 줄여나가겠다는 것이 이번 대책의 핵심""이라며 ""낙동강 맑은물 공급사업과 녹조 계절관리제를 함께 추진해 국민이 안심하고 마실 물을 안정적으로 확보하겠다""고 강조했다. 그러나 한계도 뚜렷하다. 유속을 늦춰 녹조를 악화시킨다는 지적을 받아온 보 개방 문제와 상류 오염원으로 거론돼온 영풍석포제련소 이전 문제는 이번 대책에 포함되지 않았다. 지역 단위로 양분 유입·유출을 총량 관리하는 전면적 양분관리제 도입도 빠졌다. 네이버TV 구독 + 유튜브 구독 +",https://www.imaeil.com/page/view/2026022508034299278,https://www.imaeil.com/photos/2025/08/19/2025081915482676300_l.jpg
2026-02-25,매일신문,gyeongbuk,"한국산업단지공단, 온라인 공식 홈페이지 전면 개편",,"한국산업단지공단은 온라인 대국민 소통을 강화하기 위해 공식 홈페이지를 전면 개편했다고 25일 밝혔다.
이번 개편은 사용자 중심의 인터페이스(UI)와 경험(UX) 혁신을 통해 필요한 정보를 보다 쉽고 빠르게 찾...","한국산업단지공단은 온라인 대국민 소통을 강화하기 위해 공식 홈페이지를 전면 개편했다고 25일 밝혔다. 이번 개편은 사용자 중심의 인터페이스(UI)와 경험(UX) 혁신을 통해 필요한 정보를 보다 쉽고 빠르게 찾을 수 있도록 '직관적인 화면 구성'과 '서비스 중심 구조'를 구현했다. 특히 모바일 환경에서도 쉽게 정보를 접근할 수 있도록 최적화했다. 우선 정보 접근성을 획기적으로 개선했다. 기존 홈페이지에서는 산업단지 통계나 경영공시 등 주요 정보를 확인하기 위해 최대 7번이나 선택을 해야 했으나, 이번 개편을 통해 3번 이내의 클릭만으로 원하는 정보를 확인할 수 있게 됐다. 아울러 경영공시와 통합공시 항목을 한눈에 볼 수 있는 '원클릭 바로가기' 페이지를 구축해 기관 운영의 투명성을 한층 높였다. 디지털 기술을 활용한 스마트 서비스도 눈에 띈다. AI 기반 실시간 요약 서비스를 도입해 한국산업단지공단이 발간하는 방대한 양의 연구보고서와 주요 정보를 누구나 쉽고 빠르게 이해하고 활용할 수 있도록 돕는다. 또 첫 화면을 기존 텍스트 중심에서 이미지와 인포그래픽을 활용한 포털형 구조로 전환해 시인성을 높였으며, 검색 기능과 기기별 접근성을 강화한 '반응형 웹' 기술을 통해 PC와 모바일 등에도 최적화했다. 이상훈 한국산업단지공단 이사장은 ""이번 홈페이지 개편은 단순한 디자인 변경을 넘어 대국민 소통 채널의 실질적인 역량을 강화하기 위한 노력의 일환""이라며 ""앞으로도 사용자의 의견을 적극적으로 수렴하고 기능을 고도화하여 국민이 체감할 수 있는 편리하고 투명한 서비스를 지속적으로 제공하겠다""고 밝혔다. 네이버TV 구독 + 유튜브 구독 +",https://www.imaeil.com/page/view/2026022514174872647,https://www.imaeil.com/photos/2026/02/25/2026022514172215942_m.jpg
2026-02-25,매일신문,gyeongbuk,"""미래세대 육성""…교보증권, 자립준비청년 '드림업 5기' 장학금 전달",,"교보증권은 여의도 본사 15층 대회의실에서 자립준비청년을 위한 '드림업 5기' 장학금 전달식을 개최했다고 25일 밝혔다.
이날 행사에는 이석기 교보증권 대표이사와 서성구 드림메이커스 이사장을 비롯해 선발 ...","올해 5회째…총 41명에 약 1억원 지급 교보증권은 여의도 본사 15층 대회의실에서 자립준비청년을 위한 '드림업 5기' 장학금 전달식을 개최했다고 25일 밝혔다. 이날 행사에는 이석기 교보증권 대표이사와 서성구 드림메이커스 이사장을 비롯해 선발 장학생 및 협력기관 관계자들이 참석했다. '드림업'은 자립준비청년의 안정적인 사회 정착을 지원하기 위한 교보증권의 미래세대 육성 프로그램으로 올해로 5회째를 맞았다. 선발된 장학생에게는 각각 300만원의 장학금을 지급한다. 해당 지원금은 학업과 자격증 취득, 취업 준비 등 자기계발과 생활 안정을 위한 용도로 사용된다. 교보증권은 관계기관 추천과 공개 모집을 통해 대상자를 선발해 왔으며 현재까지 총 41명의 자립준비청년에게 약 1억원 규모의 장학금을 지원했다. 이석기 대표이사는 ""청년들이 경제적 이유로 꿈을 포기하지 않기를 바란다""며 ""앞으로도 자립준비청년이 사회의 주역으로 성장할 수 있도록 지속적인 관심과 지원을 이어가겠다""고 말했다. 네이버TV 구독 + 유튜브 구독 +",https://www.imaeil.com/page/view/2026022513494119996,https://www.imaeil.com/photos/2026/02/25/2026022513493156315_m.jpg
2026-02-25,매일신문,gyeongbuk,"'종심'에 이른 신영증권, 창립 70주년 기념식 개최",,"신영증권은 서울 여의도 본사에서 창립 70주년 기념식을 개최했다고 25일 밝혔다.
지난 1956년 설립된 신영증권은 '고객의 신뢰가 곧 번영의 근간'이라는 '신즉근영(信則根榮)' 경영이념을 바탕으로 단기 수익보...","""70년간 쌓아 온 원칙과 신뢰 지켜나갈 것"" 신영증권은 서울 여의도 본사에서 창립 70주년 기념식을 개최했다고 25일 밝혔다. 지난 1956년 설립된 신영증권은 '고객의 신뢰가 곧 번영의 근간'이라는 '신즉근영(信則根榮)' 경영이념을 바탕으로 단기 수익보다는 고객의 장기적 가치 제고에 주력해왔다. 특히 1971년 현 경영진이 인수한 이래 55년째 연속 흑자와 배당을 기록하며 변동성이 큰 금융 환경 속에서도 재무 건전성과 안정적인 수익 구조를 증명하고 꾸준히 주주 환원을 실천해왔다. 신영증권은 창립 70주년인 올해의 슬로건으로 '종심(從心)'을 선정했다. '종심(從心)'은 논어 위정편의 한 구절로 70세에 이르면 마음 가는 대로 행동해도 법도에 어긋나지 않는다는 뜻이다. 신영증권이 제시한 '종심(從心)'은 단순히 업력을 기리는 것을 넘어 지난 70년간 쌓아 온 원칙과 신뢰를 바탕으로 급변하는 시장 속에서도 흔들림 없이 정도(正道)를 지키며 나아가겠다는 의지를 담았다. 이날 기념식은 별도 대외 행사 없이 임직원들이 함께 회사 역사와 향후 백년을 이어 지켜 나갈 가치를 되짚어 보는 시간으로 진행됐다. 아울러 장기근속 직원에 대한 표창과 함께, 한 해 동안 각 분야에서 탁월한 성과를 거둔 부서 및 직원에게 수여되는 '자랑스런 신영인상' 시상이 진행됐다. '자랑스런 신영인상'은 수익, 혁신, 기업이미지, 조직문화, 윤리, 라이징스타 등 총 6개 부문으로 나눠 시상됐다. 수익 부문에서는 우수한 시장 대응 능력으로 수익을 창출해 낸 파생전략운용부, ESS부, FICC본부, WM사업본부 등 4개 부서 및 본부가 수상의 영예를 안았다. 이 외에도 기업이미지 부문에서는 최근 국제회계기준위원회의 자본시장자문위원으로 선정되며 대외적인 전문성을 인정받은 산업분석팀 서정연 부장이 수상하는 등 총 22개 부서 및 직원이 상을 받았다. 신영증권 관계자는 ""70년이라는 시간은 고객과의 신뢰를 최우선으로 여겨온 결과""라며 ""앞으로도 지금까지와 같이 축적된 경험과 전문성을 바탕으로 원칙을 지키는 금융 서비스를 제공할 것""이라고 밝혔다. 네이버TV 구독 + 유튜브 구독 +",https://www.imaeil.com/page/view/2026022513473641318,https://www.imaeil.com/photos/2026/02/25/2026022513472552667_m.png
2026-02-25,매일신문,gyeongbuk,"이지스자산운용 '센터필드', IWBI '유니크 임팩트 어워드' 수상",,"이지스자산운용은 센터필드가 국제웰빌딩연구소(IWBI)에서 수여하는 'Unique Impact Award(유니크 임팩트 어워드)'를 수상했다고 25일 밝혔다.
IWBI는 지난 2014년 WELL 표준을 출시한 글로벌 공익법인으로 현재 ...","IWBI, 국내 건강·웰빙 빌딩 문화 확장 선도 사례로 공식 인정 이지스자산운용은 센터필드가 국제웰빌딩연구소(IWBI)에서 수여하는 'Unique Impact Award(유니크 임팩트 어워드)'를 수상했다고 25일 밝혔다. IWBI는 지난 2014년 WELL 표준을 출시한 글로벌 공익법인으로 현재 80개국 이상에서 건강친화형 건물 인증을 주도하는 국제적 권위 기관이다. Unique Impact Award는 개별 프로젝트의 완성도를 넘어 해당 사례가 WELL의 적용 방식과 확산 범위, 시장과 사회에 미친 영향력을 종합 평가해 수여하는 상이다. 센터필드는 지난해 11월 국내 상업용 부동산 최초로 'WELL Core 플래티넘(Platinum)' 인증을 획득했으며 당시 100점 만점에 97점을 기록했다. 센터필드는 WELL Core 인증의 10개 평가 영역에서 고르게 점수를 받았다. 특히 장기 실내환경(IEQ) 모니터링 플랫폼과 사용자 경험 기반의 웰빙 관리 체계는 혁신성을 인정받아 WELL Innovation 항목에서 추가 점수(Innovation Points)를 획득했다. IWBI는 이러한 성과를 바탕으로 센터필드가 국내 건강·웰빙 중심 빌딩 문화를 확장한 선도 사례라고 공식 인정하며 이번 수상을 결정했다. 센터필드는 건축 설계 단계에서 LEED BD+C 골드 등급을 획득했으며 GRESB에서도 2년 연속 5스타를 받은 바 있다. 이지스자산운용 관계자는 ""이번 Unique Impact Award는 센터필드가 우수한 인증 성과에 그치지 않고 국내 상업용 부동산 시장에서 건강·웰빙 중심의 운영 문화를 확산시킨 사례로 국제적으로 인정받은 것""이라며 ""앞으로도 공간 사용자의 건강과 웰빙을 최우선으로 하는 운용 철학을 바탕으로 지속가능한 자산가치 창출에 힘쓰겠다""고 말했다. 네이버TV 구독 + 유튜브 구독 +",https://www.imaeil.com/page/view/2026022513360147115,https://www.imaeil.com/photos/2026/02/25/2026022513355318595_m.jpg
2026-02-25,매일신문,gyeongbuk,안전비용 떠넘긴 건설사 4곳 공정위 심판대…포스코이앤씨 사망사고 와중 불공정 특약,,"지난해 안전사고로 5명이 숨진 포스코이앤씨를 포함한 건설사 4곳이 산업안전 비용을 하도급업체에 떠넘기는 특약을 맺은 혐의로 공정거래위원회 심판대에 올랐다.
공정위는 25일 ""포스코이앤씨, KR산업, 다산건...","산업재해 비용·민형사 책임 수급업체 전가 혐의…과징금 최대 20억·법인 고발 의견 공정위 ""산재비 전가 구조가 중대재해 원인""…심사보고서 송부 사실 첫 단계 공개 지난해 안전사고로 5명이 숨진 포스코이앤씨를 포함한 건설사 4곳이 산업안전 비용을 하도급업체에 떠넘기는 특약을 맺은 혐의로 공정거래위원회 심판대에 올랐다. 공정위는 25일 ""포스코이앤씨, KR산업, 다산건설엔지니어링, 엔씨건설의 하도급거래 공정화에 관한 법률 위반 혐의를 적발해 소회의에서 심의 중""이라고 밝혔다. 사실관계와 제재 여부를 각각 판단한다. 유성욱 공정위 조사관리관은 ""지난해 건설 현장에서 사망사고가 다수 발생함에 따라 산업안전 관련 부당특약 설정행위 등 하도급법 위반 혐의를 조사했다""며 ""심사보고서를 송부함으로써 심의절차가 개시됐다""고 설명했다. 공정위에 따르면 포스코이앤씨는 건설장비가 현장에 반입된 뒤 후방카메라·후방경보기 등 방호장치 설치 비용을 안전관리비로 정산할 수 없다는 특약을 설정했다. 또 추락·충돌 방지를 위한 선행조치를 이행하지 않아 발생한 사고의 모든 책임을 수급사업자에게 지운 특약도 둔 것으로 조사됐다. 공정위 관계자는 ""사고의 책임은 사안에 따라 원사업자와 수급사업자가 나눠 부담할 여지가 있는데도 일체의 비용을 전가하도록 한 점을 위법으로 판단했다""고 설명했다. 다산건설엔지니어링·엔씨건설·KR산업도 안전사고 발생 시 보상비 등 모든 비용과 민형사상 책임을 수급사업자가 부담한다는 특약을 설정한 혐의를 받는다. KR산업과 다산건설엔지니어링은 민원 관련 비용을 하청에 떠넘긴 혐의가, 엔씨건설은 선급금 지급을 일체 불가로 한 특약을 둔 혐의가 각각 제기됐다. 포스코이앤씨는 경쟁입찰에서 정당한 사유 없이 최저가보다 7억7천만원 낮은 금액으로 하도급 계약을 체결한 행위도 문제로 지적됐다. 일부 업체는 착공 전 서면을 발급해야 하는 법정 기한을 넘긴 사실도 확인됐다. 심사관은 4개 법인에 대해 시정명령과 과징금 부과, 고발 의견을 제시했다. 과징금은 위반 행위의 중대성에 따라 최대 20억원까지 가능하다. 유 조사관리관은 ""중대성에 따라 매우 중대한 행위, 중대한 행위, 중대성이 약한 행위로 구분해 기본 과징금을 산정한다""며 ""반복 위반 여부는 가중 요소, 자진 시정과 조사 협조는 감경 요소가 된다""고 설명했다. 이번 사건은 심사보고서 송부 사실을 의결 전 단계에서 공개한 점도 주목된다. 유 조사관리관은 ""국민의 알권리 강화와 사건 절차의 투명성 제고 필요성을 고려했다""며 ""피심인의 방어권을 침해하지 않는 범위에서 송부 사실과 개략적 내용만 공개했다""고 설명했다. 네이버TV 구독 + 유튜브 구독 +",https://www.imaeil.com/page/view/2026022513095598070,https://www.imaeil.com/photos/2025/08/17/2025081712101012299_m.jpg
2026-02-25,매일신문,gyeongbuk,외국인 국채 러시에 대외채무 940억달러 급증…단기외채 비율 14년 만에 최고,,"지난해 외국인 자금이 한국 국채로 대거 유입되면서 대외채무가 1년 새 940억달러 급증했고, 단기외채 비율은 14년 만에 최고치로 치솟았다.
25일 재정경제부가 발표한 '2025년 말 대외채권·채무 동향'에 따르면 ...","WGBI 편입 앞두고 외국인 국채 순투자 4배↑…대외채무 7669억달러 단기외채/외환보유액 41.8%·전년比 6.5%p 상승…""외환 방어력 약화 우려"" 지난해 외국인 자금이 한국 국채로 대거 유입되면서 대외채무가 1년 새 940억달러 급증했고, 단기외채 비율은 14년 만에 최고치로 치솟았다. 25일 재정경제부가 발표한 '2025년 말 대외채권·채무 동향'에 따르면 지난해 말 기준 대외채무는 7천669억달러로 집계됐다. 2024년 말 6천729억달러보다 940억달러(14.0%) 늘었다. 만기 1년 이하 단기외채는 1천790억달러로 325억달러 증가했다. 만기 1년 초과 장기외채는 5천878억달러로 615억달러 늘었다. 부문별로는 정부 460억달러, 중앙은행 24억달러, 은행 155억달러, 기타 부문 301억달러 각각 증가했다. 대외채무 확대의 배경에는 한국 국채의 세계국채지수(WGBI) 편입이 있다. 오는 4월 편입을 앞두고 외국인 자금이 선제적으로 유입됐다. 실제 외국인의 국채 순투자는 2024년 13조8천억원에서 지난해 61조9천억원으로 4배 이상 늘었다. 재경부는 ""외국 투자 자금의 국내 유입 흐름이 대외채무 증가로 이어졌다""고 설명했다. 문제는 외환 건전성 지표다. 지난해 말 단기외채가 외환보유액에서 차지하는 비율은 41.8%로 상승했다. 전년 35.3%보다 6.5%포인트(p) 올랐다. 이 비율은 2011년 45.2% 이후 가장 높은 수준이다. 단기외채 비율은 외환위기 시 즉시 상환해야 할 채무를 외환보유액으로 감당할 수 있는지를 보여주는 핵심 지표다. 수치가 높을수록 외부 충격에 취약하다는 의미다. 2008년 글로벌 금융위기 당시 이 비율은 72.4%까지 치솟았다. 현재 수치는 당시보다는 낮다. 다만 상승 흐름이 이어질 경우 외환시장 불안 요인으로 작용할 수 있다는 지적이 나온다. 향후 변수도 적지 않다. 한국 정부와 기업이 미국에 약속한 투자 규모는 3천500억달러에 달한다. 대규모 대미 투자가 집행되면 외환보유액 확충 여력은 줄어들 수밖에 없다. 외환보유액 증가 속도가 둔화된 상태에서 대외채무가 계속 늘면 단기외채 비율은 추가 상승 압력을 받는다. 정부는 안정적 관리가 가능하다는 입장이다. 국내 은행의 외화유동성 커버리지 비율(LCR)은 178.4%로 규제 기준 80%를 크게 웃돈다. 2022년 이후 단기외채 비율 변동 범위 내에 있다는 점도 강조했다. 재경부 관계자는 ""외국인 투자 흐름이 지속되도록 외환·자본시장 활성화 정책을 차질 없이 추진하겠다""고 했다. 그러나 글로벌 통상 갈등, 주요국 통화정책 변화, 지정학적 리스크가 겹친 상황에서 외환 방어 여력이 약화되는 흐름은 부담이다. 대외채권은 1조1천368억달러로 768억달러 늘었지만, 대외채권에서 대외채무를 뺀 순대외채권은 3천699억달러로 172억달러 줄었다. 네이버TV 구독 + 유튜브 구독 +",https://www.imaeil.com/page/view/2026022512174263700,https://www.imaeil.com/photos/2026/01/09/2026010913591611301_m.jpg
2026-02-25,매일신문,gyeongbuk,"귀농·귀촌 가구 10곳 중 7곳 ""농촌 생활 만족""…5년 차 소득 30% 늘어",,"농촌으로 삶의 터전을 옮긴 가구 10곳 중 7곳은 현재 생활에 만족하는 것으로 나타났다. 귀농의 주된 이유로는 좋은 자연환경과 농업의 발전 가능성이 꼽혔다.
농림축산식품부는 25일 '2025년 귀농·귀촌 실태조사...","귀농 동기 1위 자연환경…청년층 7년 연속 '농업 발전 가능성' 선택 5년 차 소득 귀농 30%·귀촌 9% 증가…생활비는 이주 전보다 감소 농촌으로 삶의 터전을 옮긴 가구 10곳 중 7곳은 현재 생활에 만족하는 것으로 나타났다. 귀농의 주된 이유로는 좋은 자연환경과 농업의 발전 가능성이 꼽혔다. 농림축산식품부는 25일 '2025년 귀농·귀촌 실태조사' 결과를 발표했다. 2020년부터 2024년까지 5년 사이 귀농·귀촌한 6천가구를 대상으로 지난해 9~11월 방문 면접조사를 실시한 결과다. 귀농 유형은 '농촌 출생 후 도시 생활을 거쳐 연고가 있는 농촌으로 돌아가는 경우'가 73.0%로 가장 많았다. 귀촌은 도시 출신자가 농촌으로 이주한 사례가 48.7%로 절반에 가까웠다. 농촌 출신이 도시 거주 뒤 연고 없는 농촌으로 옮긴 경우는 귀농 13.3%, 귀촌 13.6%였다. 생활 만족도는 높았다. 귀농 가구의 71.9%, 귀촌 가구의 72.0%가 현재 농촌 생활에 만족한다고 답했다. '지역 주민과의 관계가 좋다'는 응답은 귀농 75.5%, 귀촌 54.5%였다. 현 거주지에 계속 살고 싶다는 응답도 귀농 97.0%, 귀촌 86.3%에 달했다. 귀농 동기로는 자연환경(33.3%), 가업 승계(21.7%), 농업의 비전 및 발전 가능성(13.5%) 순으로 조사됐다. 귀촌은 농산업 외 직장 취업(14.3%), 자연환경(13.8%), 정서적 여유(13.3%) 등이 주요 이유였다. 다만 30대 이하 청년층은 7년 연속 '농업의 비전 및 발전 가능성'을 귀농·귀촌 이유 1순위로 꼽았다. 경제 여건은 점차 개선되는 추세다. 귀농·귀촌 5년 차 가구의 연평균 소득은 각각 3천300만원, 4천215만원으로 첫해(2천534만원·3천853만원)보다 30.2%, 9.4% 늘었다. 다만 평균 농가소득(5천60만원)의 65.2% 수준에 머물렀다. 반면 농업소득은 1천539만원으로 전체 평균 농가(958만원)보다 60.6% 높았다. 월평균 생활비는 귀농 173만원, 귀촌 204만원으로 집계됐다. 이주 전(239만원·231만원)보다 각각 25.1%, 11.7% 줄었다. 준비 기간은 귀농 평균 27.4개월, 귀촌 15.5개월이었다. 정착 지역과 주거·농지 탐색, 자금 마련, 교육 이수 등에 시간이 소요된 것으로 나타났다. 연령대가 높을수록 준비 기간도 길어 ▷30대 이하 22.4개월 ▷40대 26.5개월 ▷50대 29.7개월 ▷60대 32.9개월 ▷70대 이상은 37.9개월로 조사됐다. 응답자들은 농지·주택·일자리 정보 제공을 가장 필요한 정책으로 꼽았다. 조사 결과의 상세 내용은 내달 말부터 국가통계포털에서 확인할 수 있다. 윤원습 농식품부 농업정책관은 ""조사 결과를 토대로 농업 일자리 탐색·체험 교육, 청년 대상 장기 교육, 온라인 귀농귀촌 교육 등 맞춤형 정책을 추진하겠다""고 했다. 네이버TV 구독 + 유튜브 구독 +",https://www.imaeil.com/page/view/2026022512023764385,https://www.imaeil.com/photos/2026/02/25/2026022512015423156_m.jpg
2026-02-25,매일신문,gyeongbuk,"컬리, '봄맞이 특가 위크' 진행…1천여 개 상품 할인 판매",,"컬리가 다음 달 9일까지 '봄맞이 특가 위크'를 열고 1천여 개 상품을 할인 판매한다고 25일 밝혔다.
행사 품목은 제철 식재료와 나들이 간식, 신학기 용품 등으로 구성됐다. 두릅, 달래, 냉이, 돌나물 등 봄 제철...","컬리가 다음 달 9일까지 '봄맞이 특가 위크'를 열고 1천여 개 상품을 할인 판매한다고 25일 밝혔다. 행사 품목은 제철 식재료와 나들이 간식, 신학기 용품 등으로 구성됐다. 두릅, 달래, 냉이, 돌나물 등 봄 제철 나물을 포함해 여러 채소를 묶은 '봄나물 샘플러' 상품도 판매한다. '도리깨침 봄나물비빔밥 키트', '비움반찬 봄나물달래비빔밥' 등 간편식 형태의 밀키트도 행사 대상에 포함됐다. 야외 활동 증가에 맞춰 베이글과 햄·치즈 제품, 주먹밥 등 간편식도 함께 선보인다. '널담 고단백 배꼽베이글 에브리띵', '해머스 수제 햄 치즈 레베케제', '제일맞게컬리 전주비빔 현미곤약 주먹밥' 등이 포함됐다. 신학기 용품도 행사 품목에 들어갔다. '타미힐피거 키즈 힐피거 뉴욕 백팩' 등 가방류를 판매한다. 이와 함께 3월 3일까지 돼지고기 할인 행사 '삼삼데이'도 진행한다. 한돈 삼겹살과 목심, 급냉 삼겹살 500g 등을 한정 수량으로 판매한다. 자체 브랜드 KF365의 한돈 항정살, 생 대패 목살, 삼겹살 등도 행사 대상에 포함됐다. 컬리 관계자는 봄철 수요가 늘어나는 식재료와 신학기 상품을 중심으로 행사를 마련했다고 밝혔다. 네이버TV 구독 + 유튜브 구독 +",https://www.imaeil.com/page/view/2026022510071633122,https://www.imaeil.com/photos/2026/02/25/2026022510070133658_m.jpg
2026-02-25,매일신문,gyeongbuk,"""룸서비스도 비대면 주문"" 숙박·레저시설 '테이블오더' 확산",,매장 운영 간소화·무인화 바람과 함께 외식업소를 중심으로 도입된 '테이블오더' 서비스가 숙박·레저시설 등으로 확산하는 추세다. KT는 포항과 울릉도를 오가는 여객선 객실을 대상으로 테이블오더 서비스를 운...,"KT, 울릉크루즈 객실 테이블오더 서비스 '하이오더' 공급 ""숙박업계 수요 충분… 여러 업종으로 디지털 모델 확대"" 매장 운영 간소화·무인화 바람과 함께 외식업소를 중심으로 도입된 '테이블오더' 서비스가 숙박·레저시설 등으로 확산하는 추세다. KT는 포항과 울릉도를 오가는 여객선 객실을 대상으로 테이블오더 서비스를 운영하기 시작했다. KT 대구경북광역본부가 25일 울릉크루즈㈜ 뉴씨다오펄호 객실에 테이블 주문 시스템 '하이오더'를 공급한다고 밝혔다. 하이오더는 매장 등을 방문한 고객이 테이블에서 전용 태블릿 PC로 직접 주문하는 방식의 스마트 주문 서비스다. KT가 이번에 하이오더를 공급한 뉴씨다오펄호는 여객 정원이 1천200명인 유람선으로 포항과 울릉도를 오간다. 이 크루즈를 이용하는 승객들은 지난달 23일부터 항해 중에도 객실에서 음식·안주와 주류, 울릉도 특산물 등을 하이오더로 주문할 수 있게 됐다. 이는 KT가 여객선 객실에 하이오더 서비스를 공급한 첫 사례다. 앞서 KT 대구경북광역본부는 지난해 12월 울릉크루즈와 '선상 통신 품질 개선 및 하이오더 공급을 위한 상호 업무협약'을 체결했다. 지난달에는 계열사인 KT서비스남부, KT SAT과 협력해 차세대 해양 위성 통합 설루션 '엑스웨이브원(XWAVE-ONE)'을 활용하는 방식으로 해상 고속·저지연 인터넷 환경을 구축했다. 그동안은 불안정한 해상 인터넷 환경 등으로 인해 여객선에서 테이블오더 시스템을 활용하기 어려웠다는 게 업계 설명이다. 조현덕 울릉크루즈 대표는 ""국내 여객선사 최초로 저궤도 위성통신 서비스를 도입해 통신 품질을 대폭 개선했다""며 ""승객들에게 안전하고 쾌적한 해상 여행 경험을 제공할 것""이라고 말했다. 테이블오더 서비스 도입 영역은 외식업소에서 숙박·레저시설 등으로 점차 확대되는 추세다. 티오더, 페이히어 등 업체들은 주요 호텔 브랜드를 대상으로 객실 내 태블릿 주문 서비스 공급을 늘려 왔다. KT도 호텔 위탁운영사 등과 협약을 맺고 서울 강남구와 금천구, 경기 고양시 등의 숙박시설 객실에 하이오더 서비스를 구축한 바 있다. 객실과 프런트를 연결하고 고객이 객실에서 하이오더를 통해 음식 등 룸서비스와 수건·화장품 등 어메니티(편의 물품)를 주문·결제할 수 있도록 했다. KT 관계자는 ""외식업계에 더해 숙박업계 등에서도 하이오더 서비스에 대한 수요가 충분하다고 본다. 호텔과 리조트, 병원, 산후조리원 등 업종으로 하이오더 기반 디지털 전환 모델을 단계적으로 확대해 나갈 것""이라고 했다. 네이버TV 구독 + 유튜브 구독 +",https://www.imaeil.com/page/view/2026022511024747534,https://www.imaeil.com/photos/2026/02/25/2026022511021477318_m.jpg
